id,source,document_version,section,condition,title,subsection,pdf_pages,printed_pages,content
chunk_015,visa-dispute-guidelines.pdf,June 2024,3,10.4,Other Fraud – Card-Absent Environment,How should I respond?,27,24,"– The transaction was authenticated with Visa Secure. 
Advise your card processor that the transaction was Visa Secure-authenticated at time of 
authorization. 
– The cardholder has two or more completed transactions (settled 120 calendar days prior 
to the dispute) which the issuer did not report as Fraud Activity to Visa, with at least two 
data elements (device ID, device fingerprint, or the IP address) the same as the disputed 
transaction. 
 Provide the following details of the two previous transactions (settled between 120–365 
calendar days prior to the dispute processing date) and the disputed transaction: 
– Detailed description of merchandise or services purchased for the disputed 
Transactions and the 2 previous Transactions 
– Effective for Disputes Processed through 18 October 2024 Date/time the merchandise 
or services were provided 
– Effective for Disputes Processed on or after 19 October 2024 Date the merchandise or 
services were provided 
– The same device ID, device fingerprint or the IP address and an additional one or more 
data elements (Customer account/login ID, Full delivery address, device ID, device 
fingerprint, or the IP address) used in previous transactions and disputed transactions. 
– Documentation meeting the Compelling Evidence criteria is available. 
For further details, refer to the Compelling Evidence Chart in Section 4: Providing Compelling 
Evidence. 
23

3 Dispute Conditions
 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed. 
– The cardholder no longer disputes the transaction. 
Provide a letter or email from the cardholder that states they no longer dispute the 
transaction."
chunk_016,visa-dispute-guidelines.pdf,June 2024,3,10.4,Other Fraud – Card-Absent Environment,How to avoid this dispute in the future,28,25,". 
– For card-absent transactions, consider using all available Visa tools such as Visa Secure, 
CVV2 and the Address Verification Service (AVS) to help reduce fraud. Contact your card 
processor for more information on these important risk-management tools. 
– Always request authorization for mail order, telephone order, internet, and recurring 
transactions, regardless of the dollar amount. 
– Always make sure to properly identify card present and card absent transactions. 
24

3 Dispute Conditions"
chunk_017,visa-dispute-guidelines.pdf,June 2024,3,10.5,Visa Fraud Monitoring Program,Why did I get this notification?,29,26,"Visa notified the cardholder’s bank that the Visa Fraud Monitoring Program (VFMP) identified 
the transaction and the cardholder’s bank has not successfully disputed the transaction under 
another dispute condition."
chunk_018,visa-dispute-guidelines.pdf,June 2024,3,10.5,Visa Fraud Monitoring Program,What caused the dispute?,29,26,"Your business has been identified with excessive fraud levels and the issuer was permitted to 
dispute the fraudulent transaction identified by VFMP."
chunk_019,visa-dispute-guidelines.pdf,June 2024,3,10.5,Visa Fraud Monitoring Program,How should I respond?,29,26,"– Issuer has initiated a prior dispute for the same transaction which you have already 
accepted. 
Provide details of the previously accepted dispute. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed. 
– The cardholder no longer disputes the transaction. 
Provide a letter or email from the cardholder that states they no longer dispute the 
transaction. 
25

3 Dispute Conditions"
chunk_020,visa-dispute-guidelines.pdf,June 2024,3,11.1,Card Recovery Bulletin,Why did I get this notification?,30,27,"The cardholder’s bank determined that both of these occurred: 
– There was no authorization obtained on the transaction date, and 
– The payment credential was listed in the Card Recovery Bulletin for the Visa region in which 
you are located."
chunk_021,visa-dispute-guidelines.pdf,June 2024,3,11.1,Card Recovery Bulletin,What caused the dispute?,30,27,"You failed to check the Card Recovery Bulletin (CRB) when required and completed the 
transaction without authorization request."
chunk_022,visa-dispute-guidelines.pdf,June 2024,3,11.1,Card Recovery Bulletin,How should I respond?,30,27,"– The transaction was not authorized and the CRB was not checked. 
Accept the dispute. 
– Transaction qualifies for the EMV liability shift and had taken place at an EMV compliant 
terminal or contactless only acceptance device. 
Provide documentation to support that the transaction took place at an EMV compliant 
terminal. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed."
chunk_023,visa-dispute-guidelines.pdf,June 2024,3,11.1,Card Recovery Bulletin,How to avoid this dispute in the future,30,27,"– Make sure required authorization was obtained in accordance with the Visa Rules before 
completing any transaction. 
– Always review the CRB when the transaction is below your floor limit. 
26

3 Dispute Conditions"
chunk_024,visa-dispute-guidelines.pdf,June 2024,3,11.2,Declined Authorization,Why did I get this notification?,31,28,A transaction was processed after receiving a Decline or Pickup response.
chunk_025,visa-dispute-guidelines.pdf,June 2024,3,11.2,Declined Authorization,What caused the dispute?,31,28,"The most common cause for this type of dispute is processing a transaction after a decline or 
card pickup response, and you sent the transaction in your capture file without attempting 
another authorization request (commonly referred to as forced posting)."
chunk_026,visa-dispute-guidelines.pdf,June 2024,3,11.2,Declined Authorization,How should I respond?,31,28,"– The transaction was authorized. 
Have your card processor provide evidence that the transaction was authorized online or 
offline via the chip. 
– The transaction was not authorized. 
Accept the dispute. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed."
chunk_027,visa-dispute-guidelines.pdf,June 2024,3,11.2,Declined Authorization,How to avoid this dispute in the future,31,28,"– Make sure required authorization is obtained in accordance with the Visa Rules before 
completing any transaction. 
– Train your staff on the proper procedures for handling terminal issues. 
27

3 Dispute Conditions"
chunk_028,visa-dispute-guidelines.pdf,June 2024,3,11.3,No Authorization/Late Presentment Effective for,Why did I get this notification?,32,29,"A transaction was processed without obtaining the required authorization, or the transaction 
was not processed within the required transaction processing time limit."
chunk_029,visa-dispute-guidelines.pdf,June 2024,3,11.3,No Authorization/Late Presentment Effective for,What caused the dispute?,32,29,"There are four common causes for this type of dispute: 
– An authorization was required but was not obtained. 
– An authorization was obtained, but the transaction was processed for a higher amount. 
– An authorization was obtained, but the transaction was not processed in time. 
– An authorization was not required, and the transaction was not processed in time."
chunk_030,visa-dispute-guidelines.pdf,June 2024,3,11.3,No Authorization/Late Presentment Effective for,How should I respond?,32,29,"– The transaction was authorized: 
Have your card processor provide evidence that the transaction was authorized online or 
offline via the chip, or 
Document to show that the transaction date initially used to process the transaction was 
incorrect and that the transaction was properly authorized. 
– The transaction was completed within the time limit. 
Provide a copy of the receipt or other evidence to disprove late presentment. 
– The transaction was not authorized, or the transaction was completed later than the 
specified transaction processing time limit. 
Accept the dispute. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed."
chunk_031,visa-dispute-guidelines.pdf,June 2024,3,11.3,No Authorization/Late Presentment Effective for,How to avoid this dispute in the future,32,29,"– Make sure required authorization is obtained in accordance with the Visa Rules before 
completing any transaction. 
– Train your staff on the proper procedures for handling terminal issues. 
– Send completed transactions to your card processor as soon as possible, preferably on the 
day of the sale or within the timeframe specified in your merchant agreement. 
28

3 Dispute Conditions"
chunk_032,visa-dispute-guidelines.pdf,June 2024,3,12.1,Late Presentment Effective through 12 April 2024,Why did I get this notification?,33,30,The transaction was completed past the required transaction processing time limits.
chunk_033,visa-dispute-guidelines.pdf,June 2024,3,12.1,Late Presentment Effective through 12 April 2024,What caused the dispute?,33,30,The transaction was not sent to Visa within the timeframe required.
chunk_034,visa-dispute-guidelines.pdf,June 2024,3,12.1,Late Presentment Effective through 12 April 2024,How should I respond?,33,30,"– The transaction was completed within the time limit. 
Provide a copy of the receipt to support the transaction date. 
– The transaction was completed later than the specified transaction processing time limit. 
Accept the dispute. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed. 
– The cardholder no longer disputes the transaction. 
Provide a letter or email from the cardholder that states they no longer dispute the 
transaction."
chunk_035,visa-dispute-guidelines.pdf,June 2024,3,12.1,Late Presentment Effective through 12 April 2024,How to avoid this dispute in the future,33,30,"– Send completed transactions to your card processor as soon as possible, preferably on the 
day of the sale or within the timeframe specified in your merchant agreement. 
29

3 Dispute Conditions"
chunk_036,visa-dispute-guidelines.pdf,June 2024,3,12.2,Incorrect Transaction Code,Why did I get this notification?,34,31,"The transaction was completed with an incorrect transaction code (i.e., you meant to send a 
credit, but you actually sent a sale, and vice versa or a credit refund was processed instead of a 
reversal or an adjustment)."
chunk_037,visa-dispute-guidelines.pdf,June 2024,3,12.2,Incorrect Transaction Code,What caused the dispute?,34,31,"You processed a debit when you should have processed a credit (vice versa), or a credit was 
processed when you should have processed a reversal to correct a transaction that was 
processed in error."
chunk_038,visa-dispute-guidelines.pdf,June 2024,3,12.2,Incorrect Transaction Code,How should I respond?,34,31,"– The transaction was settled with the correct details. 
Provide documentation that shows the transaction was processed correctly as a credit or 
debit to the cardholder’s account or an explanation or documentation to support that the 
credit was not a result of a processing error on the original transaction. 
– The transaction was processed incorrectly. 
Accept the dispute. 
– For a credit processed as a debit or a debit processed as a credit, a credit or reversal has 
already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed. (Does not apply when credit was processed instead of a reversal.)"
chunk_039,visa-dispute-guidelines.pdf,June 2024,3,12.2,Incorrect Transaction Code,How to avoid this dispute in the future,34,31,"– Train your sales staff on the proper procedures for processing credits, debits and reversals. 
30

3 Dispute Conditions"
chunk_040,visa-dispute-guidelines.pdf,June 2024,3,12.3,Incorrect Currency,Why did I get this notification?,35,32,"The transaction was processed with an incorrect currency code (i.e., the transaction currency is 
different from the currency transmitted through Visa; or the cardholder was not advised or did 
not agree that Dynamic Currency Conversion (DCC) would occur)."
chunk_041,visa-dispute-guidelines.pdf,June 2024,3,12.3,Incorrect Currency,What caused the dispute?,35,32,"There are two common causes for this type of dispute: 
– The transaction currency is different from the currency transmitted through Visa. 
– The cardholder claims that you failed to offer them a choice of paying in your local currency 
or that they declined paying in their local currency."
chunk_042,visa-dispute-guidelines.pdf,June 2024,3,12.3,Incorrect Currency,How should I respond?,35,32,"– Correct transaction currency was used to complete the transaction. 
Provide your card processor with documentation such as: 
– Evidence that the cardholder actively chose DCC 
– A copy of the transaction receipt 
– The transaction was processed incorrectly. 
Accept the dispute. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed. 
– The cardholder no longer disputes the transaction. 
Provide a letter or email from the cardholder that states they no longer dispute the 
transaction."
chunk_043,visa-dispute-guidelines.pdf,June 2024,3,12.3,Incorrect Currency,How to avoid this dispute in the future,35,32,"– Train your staff on the proper procedures for using different currency. 
31

3 Dispute Conditions"
chunk_044,visa-dispute-guidelines.pdf,June 2024,3,12.4,Incorrect Account Number,Why did I get this notification?,36,33,The transaction was processed using an incorrect payment credential.
chunk_045,visa-dispute-guidelines.pdf,June 2024,3,12.4,Incorrect Account Number,What caused the dispute?,36,33,The incorrect payment credential was used to complete the transaction.
chunk_046,visa-dispute-guidelines.pdf,June 2024,3,12.4,Incorrect Account Number,How should I respond?,36,33,"– The payment credential on the dispute matches the payment credential on your copy of the 
receipt. 
Provide a copy of the receipt and if the dispute relates to a transaction processed on a 
payment credential not on the issuer’s master file, provide a copy of the authorization log. 
– The payment credential on the dispute does not match the payment credential on your copy 
of the receipt. 
Accept the dispute. 
– Transaction was not authorized. 
Accept the dispute. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed. 
– The cardholder no longer disputes the transaction. 
Provide a letter or email from the cardholder that states they no longer dispute the 
transaction."
chunk_047,visa-dispute-guidelines.pdf,June 2024,3,12.4,Incorrect Account Number,How to avoid this dispute in the future,36,33,"Train your sales staff on the proper procedures for processing transactions, including the 
recommendation that all transactions be swiped, or chip read. 
32

3 Dispute Conditions"
chunk_048,visa-dispute-guidelines.pdf,June 2024,3,12.5,Incorrect Amount,Why did I get this notification?,37,34,"The cardholder submitted a claim to their bank that says one of the following things happened: 
– The transaction amount is incorrect. 
– An addition or transposition error was made when calculating the transaction amount. 
– You altered the transaction amount after the transaction was completed without the 
consent of the cardholder."
chunk_049,visa-dispute-guidelines.pdf,June 2024,3,12.5,Incorrect Amount,What caused the dispute?,37,34,"An incorrect amount was keyed in to complete the transaction or the handwritten amount 
differs from printed amount."
chunk_050,visa-dispute-guidelines.pdf,June 2024,3,12.5,Incorrect Amount,How should I respond?,37,34,"– Transaction amount is correct. 
Provide supporting documentation (i.e., copy of the transaction receipt). 
– The transaction amount used to settle the transaction was different from the actual 
amount due. 
Accept the dispute. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed. 
– The cardholder no longer disputes the transaction. 
Provide a letter or email from the cardholder that states they no longer dispute the 
transaction."
chunk_051,visa-dispute-guidelines.pdf,June 2024,3,12.5,Incorrect Amount,How to avoid this dispute in the future,37,34,"– Train your sales staff on the proper procedures for processing transactions ensuring 
correct details are keyed in the terminal before submitting the transaction, including the 
recommendation that all transactions be swiped, or chip read. 
33

3 Dispute Conditions"
chunk_052,visa-dispute-guidelines.pdf,June 2024,3,12.6,Duplicate Processing,Why did I get this notification?,38,35,"The cardholder claims that a single transaction was processed more than once using the same 
Payment Credential on the same Transaction date, and for the same Transaction amount."
chunk_053,visa-dispute-guidelines.pdf,June 2024,3,12.6,Duplicate Processing,What caused the dispute?,38,35,"There are four common causes for this type of dispute: 
– The same transaction details were entered into the terminal more than once. 
– The same transaction capture batch was electronically sent to your card processor more 
than once. 
– Both the merchant copy and the acquirer copy of the transaction receipt were submitted/ 
deposited. 
– Two transaction receipts were created for the same purchase."
chunk_054,visa-dispute-guidelines.pdf,June 2024,3,12.6,Duplicate Processing,How should I respond?,38,35,"– The charges represent two separate transactions/purchases. 
Provide information and documentation to show the two transactions are separate. 
– Cardholder made only one transaction confirmed by your records, but it was settled 
more than once. 
Accept the dispute. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed. 
– The cardholder no longer disputes the transaction. 
Provide a letter or email from the cardholder that shows they no longer dispute the 
transaction."
chunk_055,visa-dispute-guidelines.pdf,June 2024,3,12.6,Duplicate Processing,How to avoid this dispute in the future,38,35,"– Avoid entering/processing a transaction more than once. If you do enter a transaction twice, 
reverse the duplicate transaction. 
– Train your sales staff on the proper procedures for processing transactions, including how to 
reverse duplicate transactions. 
– Review transaction receipts before you deposit them. 
34

3 Dispute Conditions"
chunk_056,visa-dispute-guidelines.pdf,June 2024,3,12.6,Paid by Other Means,Why did I get this notification?,39,36,"The cardholder claims that they paid for the merchandise or service by other means (i.e., cash, 
check, other card, the same card with discrepancies on the date and/or amount, etc.)."
chunk_057,visa-dispute-guidelines.pdf,June 2024,3,12.6,Paid by Other Means,What caused the dispute?,39,36,"The cardholder initially gave you a Visa card as payment, but then decided to use cash, check, 
or another card after you completed the transaction."
chunk_058,visa-dispute-guidelines.pdf,June 2024,3,12.6,Paid by Other Means,How should I respond?,39,36,"– Visa card was the only form of payment used. 
Provide the sales records or other documentation that shows no other form of payment 
was used. 
– The Visa card and other form of payment were for different merchandise or services. 
Provide the sales records or other documentation to show that both payments were for 
different merchandises or services 
– The charges represent two separate transactions/purchases. 
Provide documentation to show the two transactions represent the purchase of separate 
merchandise or services. 
– The transaction was paid using another form of payment. 
Accept the dispute. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed. 
– The cardholder no longer disputes the transaction. 
Provide a letter or email from the cardholder that states they no longer dispute the 
transaction."
chunk_059,visa-dispute-guidelines.pdf,June 2024,3,12.6,Paid by Other Means,How to avoid this dispute in the future,39,36,"– If a customer asks to use another form of payment after you have processed the Visa card 
transaction, reverse the Visa card transaction. 
– Train your sales staff on the proper procedures for handling reversals. 
35

3 Dispute Conditions
36"
chunk_060,visa-dispute-guidelines.pdf,June 2024,3,12.7,Invalid Data,Why did I get this notification?,40,37,An authorization was obtained using invalid or incorrect data.
chunk_061,visa-dispute-guidelines.pdf,June 2024,3,12.7,Invalid Data,What caused the dispute?,40,37,"The common causes for this type of dispute: 
– An authorization request contained an incorrect transaction date, MCC, merchant or 
transaction type indicator, Country or State Code, Special Condition Indicator, or other 
required field."
chunk_062,visa-dispute-guidelines.pdf,June 2024,3,12.7,Invalid Data,How should I respond?,40,37,"– The authorization request submitted with the correct/valid data. 
Provide the sales records or other documentation to support that the transaction was 
authorized with valid data. 
– The authorization was obtained using invalid data. 
Accept the dispute. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed. 
– The cardholder no longer disputes the transaction. 
Provide a letter or email from the cardholder that states they no longer dispute the 
transaction."
chunk_063,visa-dispute-guidelines.pdf,June 2024,3,12.7,Invalid Data,How to avoid this dispute in the future,40,37,"– Ensure that all transactions are processed with the correct data and your account is correctly 
set up with the proper information.

3 Dispute Conditions"
chunk_064,visa-dispute-guidelines.pdf,June 2024,3,13.1,Merchandise/Services Not Received,Why did I get this notification?,41,38,"The cardholder claims that merchandise or services that they ordered were not received by 
the expected date (or merchandise was unavailable for pick-up)."
chunk_065,visa-dispute-guidelines.pdf,June 2024,3,13.1,Merchandise/Services Not Received,What caused the dispute?,41,38,"There are several common causes for this type of dispute: 
– The merchandise was not delivered and received by the agreed-upon delivery date, time or 
to the agreed upon location. 
– The merchandise was not available for pick-up at the agreed location or by agreed date. 
– The services were not available and/or not provided to the customer."
chunk_066,visa-dispute-guidelines.pdf,June 2024,3,13.1,Merchandise/Services Not Received,How should I respond?,41,38,"– The merchandise has been delivered /picked up by the agreed-upon date or agreed 
upon location. 
Provide documentation to prove that the cardholder or authorized person received the 
merchandise or services as agreed. 
– Specified delivery date has not yet passed. 
Provide documentation to support the expected delivery date. 
– Cardholder cancelled prior to expected date. 
Provide documentation to support you were able to provide merchandise or service and 
that the cardholder cancelled prior to the delivery date. 
– Transaction represents a partial payment with balance due. 
Provide documentation to support additional payments due. 
– Airline transaction when the Cardholder is disputing the flight did not take place. 
Provide documentation to prove that the flight departed. 
– Transaction represents future services. 
Provide documentation to show that merchant did not cancel and services were available. 
– Effective for Dispute Response on or after 19 October 2024, For Transactions involving 
the acquisition of non-fiat currency or non-fungible token(s), the non-fiat currency or 
nonfungible tokens (NFT) was successfully delivered to the destination wallet address 
supplied by the cardholder at the time of the transaction. 
Provide documentation to show one or more of the following: 
• Destination wallet address 
•
 Blockchain Transaction 
hash, which 
must be searchable/traceable on an open-source 
website 
• Prior approved similar transactions using the same Cardholder Account Number 
37

3 Dispute Conditions

– The merchandise or service was not delivered/provided to the customer. 
Accept the dispute. 
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed. 
– The cardholder no longer disputes the transaction. 
Provide a letter or email from the cardholder that states they no longer dispute the 
transaction."
chunk_067,visa-dispute-guidelines.pdf,June 2024,3,13.1,Merchandise/Services Not Received,How to avoid this dispute in the future,42,39,"– If merchandise is going to be delayed, notify the customer in writing of the delay and 
expected delivery date. Allow the customer to cancel if they choose to. 
– If you are shipping merchandise without requesting proof of delivery, consider the costs and 
benefits of doing so compared to the value of the merchandise you ship. Proof of delivery or 
pick-up, such as certified mail or a carrier’s certification that the merchandise was delivered 
to the correct address or picked up and signed for by the cardholder, will allow you to return 
the dispute if the customer claims the merchandise was not received. 
– You may consider purchasing shipping insurance as additional protection for possible lost, 
stolen and/or damaged in transit. 
38

3 Dispute Conditions"
chunk_068,visa-dispute-guidelines.pdf,June 2024,3,13.2,Cancelled Recurring Transaction,Why did I get this notification?,43,40,"The Cardholder withdrew permission to charge the account for a recurring transaction or you 
or your card processor received notification that, before the Transaction was processed, that 
the cardholder’s account was closed.
4
3"
chunk_069,visa-dispute-guidelines.pdf,June 2024,3,13.2,Cancelled Recurring Transaction,What caused the dispute?,43,40,"There are several common causes for this type of dispute such as follows:
– The cardholder withdrew permission to charge the account.
– The cardholder cancelled the card account.
– The cardholder’s bank cancelled the card account.
– The transaction was processed after you received notice that the cardholder’s account was 
closed."
chunk_070,visa-dispute-guidelines.pdf,June 2024,3,13.2,Cancelled Recurring Transaction,How should I respond?,43,40,"– Transaction was cancelled, but services were used. 
Effective for Disputes processed on or after 19 October 2024, provide proof the cardholder 
used services after the withdrawal of permission to bill date and prior to the Dispute 
Processing Date.
– The cardholder withdrew their permission to charge the account for a recurring transaction 
and you have not issued a credit. 
Accept the dispute.
– Credit or reversal has already been processed for the transaction. 
Provide documentation of the credit or reversal that includes the amount and the date it 
was processed.
– The cardholder no longer disputes the transaction. 
Provide a letter or email from the cardholder stating that they no longer dispute the 
transaction."
chunk_071,visa-dispute-guidelines.pdf,June 2024,3,13.2,Cancelled Recurring Transaction,How to avoid this dispute in the future,43,40,"– Train your sales and customer service staff on the proper procedures for processing 
recurring transactions, as these transactions are particularly susceptible to cardholder 
disputes.
– Always respond in a timely manner to customer requests relating to the renewal or 
cancellation of recurring transactions. Check customer logs daily for cancellation or non-
renewal requests; take appropriate action to comply with them in a timely manner. 
– Send a notification to the customer stating that his or her recurring payment account has 
been closed. If any balance amount is owed for services already utilized, request another 
form of payment from the cardholder.
3 Includes in the Europe region, installment transaction.
4 Includes in the Europe region, withdrawn facilities or deceased cardholder.
39

3 Dispute Conditions"
chunk_072,visa-dispute-guidelines.pdf,June 2024,3,13.3,Not as Described or Defective Merchandise/Services,Why did I get this notification?,44,41,"The cardholder is claiming that the merchandise or services were one or more of these: 
– Merchandise or services did not match the description on the transaction receipt or other 
documentation presented at the time of purchase. 
– Merchandise or services are not the same as your verbal description (for a telephone 
transaction
5). 
– The merchandise was received damaged or defective. 
– For travel agency merchant using a Visa Commercial Card Virtual Account that has failed to 
honor the contractual agreement or the services provided by the travel agency merchant to 
the Virtual Account holder were not as described in the contractual agreement. 
– The cardholder disputes the quality of the merchandise or services."
chunk_073,visa-dispute-guidelines.pdf,June 2024,3,13.3,Not as Described or Defective Merchandise/Services,What caused the dispute?,44,41,"There are several common causes for this type of dispute: 
– You sent the wrong merchandise to the cardholder. 
– You sent the merchandise, but it was damaged during shipment. 
– You inaccurately described the merchandise or services at the time of purchase. 
– You did not perform the services as described."
